,text,label
0,"This paper proposes a hierarchical learning architecture for solving the task of word sense disambiguation with world knowledge, specifically targeting task-specific and background data. The proposed learning architecture leverages both task-specific training data and background data to perform hierarchical semantic classification, which involves the identification and classification of lexical semantic classification problems. The learning architecture is designed to learn representations of words and their contexts that incorporate world knowledge, allowing for more accurate word sense disambiguation. The proposed architecture is evaluated on standard benchmarks and achieves state-of-the-art performance, demonstrating the effectiveness of hierarchical learning for this task. Overall, this paper presents a novel approach for improving word sense disambiguation performance by leveraging world knowledge and hierarchical learning.",1
1,"we present a learning architecture for lexical semantic classification problems that supplements task-specific training data with background data encoding general '' world knowledge '' . the learning architecture compiles knowledge contained in a dictionary-ontology into additional training data , and integrates task-specific and background data through a novel hierarchical learning architecture . experiments on a word sense disambiguation task provide empirical evidence that this '' hierarchical learning architecture '' outperforms a state-of-the-art standard '' flat '' one .",0
2,"Thompson Sampling is a popular Bayesian algorithm for the stochastic multi-armed bandit problem that has shown impressive empirical performance. In this paper, we provide novel regret bounds for Thompson Sampling that are both prior-free and prior-dependent. The prior-free regret bound assumes a non-Bayesian stochastic bandit, making no assumption about the prior distribution. The prior-dependent regret bound, on the other hand, is derived by assuming a prior distribution on the reward distributions of the bandit problem. We also provide distribution-free and distribution-dependent bounds, offering a comprehensive analysis of the performance of Thompson Sampling. Furthermore, we show that our prior-dependent regret bound is tight for a wide range of prior distributions. Finally, we demonstrate the practical usefulness of our bounds through simulations on various bandit problem instances. Our results indicate that our proposed Thompson Sampling algorithm with prior-dependent regret bounds significantly outperforms other state-of-the-art algorithms. Overall, this paper contributes to a better understanding of the performance of Thompson Sampling in stochastic multi-armed bandit problems and provides practical guidelines for its use.",1
3,"we consider the stochastic multi-armed bandit problem with a prior distribution on the reward distributions . we are interested in studying prior-free and prior-dependent regret bounds , very much in the same spirit than the usual distribution-free and distribution-dependent bounds for the non-bayesian stochastic bandit . we first show that thompson sampling attains an optimal prior-free bound in the sense that for any prior distribution its bayesian regret is bounded from above by 14 √ nk . this result is unimprovable in the sense that there exists a prior distribution such that any algorithm has a bayesian regret bounded from below by 1 20 √ nk . we also study the case of thompson sampling for the setting of bubeck et al. -lsb- 2013 -rsb- -lrb- where the optimal mean is known as well as a lower bound on the smallest gap -rrb- and we show that in this case the regret of thompson sampling is in fact uniformly bounded over time , thus showing that thompson sampling can greatly take advantage of the nice properties of these thompson sampling .",0
4,"This paper presents an end-to-end spoken information retrieval solution for a personal memory aid system designed to assist the elderly in managing their personal audio archive. The system is built using speech processing components that enable conversational speech to be transcribed and retrieved for later use. The speech processing flow includes automatic speech processing, speaker tracking, and audio transcription. The automatic speech processing module extracts features such as pitch, energy, and spectral information, while the speaker tracking module identifies and separates speakers in the audio stream. The transcription module then converts the audio stream into text, which is stored in a searchable database. The system also includes a user-friendly interface that allows the elderly to retrieve specific spoken conversations from their personal audio archive. We demonstrate the effectiveness of our approach through experiments on real-world data and show that our system achieves high accuracy in speech processing and retrieval. Our system offers a promising solution for the ambient assisted living area, providing elderly individuals with an easy-to-use tool for managing their personal audio archive.",1
5,"the paper presents a new application of automatic speech processing in the ambient assisted living area , developed in the course of a three year research project . recording and automatic processing of spoken conversations plays a major role in this solution enabling effective search in a personal audio archive and fast browsing of conversations . processing of elderly conversational speech recorded by a distant pda microphone poses a great challenge . the speech processing flow includes transcription , speaker tracking and combined indexing and search of spoken terms and participating speakers identity extracted from the audio . we present the entire application and individual speech processing components as well as evaluation results of the individual components and of the end-to-end spoken information retrieval solution .",0
6,"This paper proposes a method for estimating speech recognition error rate without requiring acoustic test data. The proposed method utilizes probabilistic phoneme sequence conversion rules and phonemic confusion models that are learned from phonemic transcription pairs. The confusion models are derived from leave-one-out decoding, which involves iteratively leaving out each transcription pair and decoding the remaining pairs to obtain a probability distribution over word hypotheses. The phonemic transcription pairs are obtained from a text test corpus, which is used to evaluate the performance of the automatic speech recognition system at the phonemic level. The proposed method does not require any acoustic data, making it particularly useful for evaluating the performance of speech recognition systems that operate in noisy environments. We also investigate the impact of different factors, such as grammar design and dialog strategy, on the estimated word error rate. The results demonstrate that our method provides accurate estimates of word error rate and is able to capture important factors that affect the performance of automatic speech recognition systems. Overall, our method offers a practical approach for estimating speech recognition error rate without requiring acoustic test data, facilitating the design cycle of speech recognition systems.",1
7,we address the problem of estimating the word error rate of an automatic speech recognition system without using acoustic test data . this is an important problem which is faced by the designers of new applications which use automatic speech recognition system . quick estimate of word error rate early in the design cycle can be used to guide the decisions involving dialog strategy and grammar design . our approach involves estimating the probability distribution of the word hypotheses produced by the underlying automatic speech recognition system given the text test corpus . a critical component of this system is a phonemic confusion model which seeks to capture the errors made by automatic speech recognition system on the acoustic data at a phonemic level . we use a confusion model composed of probabilistic phoneme sequence conversion rules which are learned from phonemic transcription pairs obtained by leave-one-out decoding of the training set . we show reasonably close estimation of word error rate when applying the system to test sets from different domains .,0
8,"This paper proposes a novel approach to speech recognition based on the product of power spectrum and modified group delay function. Traditional speech recognition systems typically use features such as magnitude spectrum and mel-frequency cepstral coefficients to represent the speech signal. However, these features do not capture the phase spectrum of the signal, which can contain valuable information about the speech. The proposed approach addresses this limitation by incorporating the phase spectrum through the modified group delay function, which is derived from the group delay function of the signal. The modified group delay function is then combined with the power spectrum to generate cepstral features that capture both the magnitude and phase information of the signal. We demonstrate the effectiveness of our approach through experiments on a speech recognition task and show that our method outperforms traditional methods based on magnitude spectrum and mel-frequency cepstral coefficients. Our method offers a promising approach for speech recognition that captures both the magnitude and phase information of the speech signal, enabling more accurate recognition.",1
9,"mel-frequency cepstral coefficients -lrb- mel-frequency cepstral coefficients -rrb- are the most widely used features for speech recognition . these are derived from the power spectrum of the speech signal . recently , the cepstral features derived from the modified group delay function have been studied by murthy and gadde -lsb- 6 -rsb- for speech recognition . in this paper , we propose to use the product of the power spectrum and the group delay function , and derive the mel-frequency cepstral coefficients from the product mel-frequency cepstral coefficients . this mel-frequency cepstral coefficients combines the information from the magnitude spectrum as well as the phase spectrum . the mel-frequency cepstral coefficients of the modified group delay function are also investigated in this paper . results show that the cepstral features derived from the power spectrum perform better than that from the modified group delay function , and the product mel-frequency cepstral coefficients based features provide the best performance .",0
