,text,label
0,"The Estádio Municipal Coaracy da Mata Fonseca is located in Arapiraca, Brazil, and is the ground for the Agremiação Sportiva Arapiraquense. The team, also known as ""Alvinegro,"" plays in the Campeonato Brasileiro Série C league.",1
1,"Estádio Municipal Coaracy da Mata Fonseca is the name of the ground of Agremiação Sportiva Arapiraquense in Arapiraca. Agremiação Sportiva Arapiraquense, nicknamed ""Alvinegro"", lay in the Campeonato Brasileiro Série C league from Brazil.",0
2,"Estádio Municipal Coaracy da Mata Fonseca is the name of the ground of Agremiação Sportiva Arapiraquense in Arapiraca. Alvinegro, the nickname of Agremiação Sportiva Arapiraquense, play in the Campeonato Brasileiro Série C league from Brazil.",0
3,"According to the graph, the individual named Nie Haisheng was born on October 13th, 1964. Additionally, it is noted that Nie Haisheng's occupation is a fighter pilot.",1
4,"Nie Haisheng, born on October 13, 1964, worked as a fighter pilot.",0
5,"Nie Haisheng is a former fighter pilot who was born on October 13, 1964.",0
6,Nie Haisheng born on 10/13/1964 is a fighter pilot.,0
7,MotorSport Vision is a motorsport organization headquartered in the city of Fawkham.,1
8,MotorSport Vision is located in the city of Fawkham.,0
9,"MotorSport Vision is located in the city of Fawkham, UK.",0
10,MotorSport Vision is located in Fawkham.,0
11,"Aleksandr Prudnikov stands tall at a height of 185.0 centimetres, according to the graph. The graph also reveals that FC Spartak Moscow is the club that he belongs to. In addition, the graph shows that his home ground is the Otkrytiye Arena.",1
12,"185 centimetre tall Aleksandr Prudnikov played for the Otkrytiye Arena based FC Spartak, Moscow.",0
13,The 185 cm tall Aleksandr Prudnikov plays for FC Spartak Moscow who call their home ground Otkrytiye Arena.,0
14,"Aleksandr Prudnikov who is 185 cm tall, plays for FC Spartak Moscow whose ground is the Otkrytiye Arena.",0
15,Ciudad Ayala is a City with a population of 1777539 according to the populationMetro graph. The city is managed by a City Manager as per the leaderTitle graph. The populationDensity for the city is 1604.0 which suggest that it is a densely populated area. The governmentType for the city is Council-manager_government which indicates that the city is run by a council with a manager in charge of its day-to-day operations.,1
16,"Ciudad Ayala is a city with population density and population of 1604 and 1777539 respectively, where the leader is called the City Manager. The government type in the city of Ciudad Ayala is council-manager.",0
17,"The city of Ciudad Ayala, with a population of 1,777,539, is led by a City Manager on a council-manager government system. It has a population density of 1604.",0
18,"Ciudad Ayala, a city with population density and population of 1604.0 and 1,777,539 respectively, uses a type of government called council-manager government. One of the leaders of Ciudad Ayala is the City Manager.",0
19,"The album ""Bootleg Series Volume 1: The Quine Tapes"" is preceded by ""Squeeze"" by The Velvet Underground. ""Squeeze"" is then followed by ""1969: The Velvet Underground Live"".",1
20,"The album 1969: The Velvet Underground Live is preceded by the Velvet Underground album Squeeze, which was followed by The Quine Tapes.",0
21,"The Velvet Underground album Bootleg Series Volume 1: The Quine Tapes was preceded by the album Squeeze, which was followed by the live album 1969: The Velvet Underground Live.",0
22,The Bootleg Series Volume I: The Quine Tapes is preceded by the Velvet Underground album Squeeze which was itself followed by the album 1969: The Velvet Underground Live.,0
23,Ciudad Ayala is a city located in Mexico with a population density of 1604.0. The leader of Ciudad Ayala is called the Governator. The elevation of Ciudad Ayala above the sea level is 1147.0. The city follows the Pacific Daylight Time as its timezone.,1
24,Ciudad Ayala in Mexico with population density of 1604.0 and elevated 1147.0 above sea level is in the PDT time zone. The leader here is called the governator.,0
25,Ciudad Ayala is a country in Mexico that is located 1147 above sea level and is in the Pacific Daylight time zone. The population density is 1604 and the leader of Ciudad Ayala is called the governator.,0
26,Ciudad Ayala is located in Mexico and has a population density of 1604. The city stands 1147 m above sea level. The Governator is the leader of Ciudad Ayala located in the Pacific Daylight time zone.,0
27,"Olga Bondareva passed away on December 9th, 1991, according to the graph data.",1
28,"Olga Bondareva died on December 9, 1991.",0
29,"Olga Bondareva died on the 9th of December, 1991.",0
30,The date of Olga Bondareva's death was the ninth of December 1991.,0
31,"Saint Petersburg was founded on May 27, 1703, according to the graph. Olga Bondareva died in Saint Petersburg according to the information provided. The graph also indicates that the total area of Saint Petersburg is 1439.0.",1
32,"Saint Petersburg was founded on May 27, 1703 and has a total area of 1439.0, Olga Bondareva passed away at Saint Petersburg.",0
